0,5.330e-01
1,-5.157e-01
2,4.709e-01
3,-4.119e-01
4,3.496e-01
5,-2.907e-01
6,2.386e-01
7,-1.941e-01
8,1.570e-01
9,-1.265e-01
10,1.017e-01
11,-8.169e-02
12,6.553e-02
13,-5.253e-02
14,4.209e-02
15,-3.372e-02
16,2.701e-02
17,-2.163e-02
18,1.732e-02
19,-1.387e-02
20,1.111e-02
21,-8.895e-03
22,7.123e-03
23,-5.703e-03
24,4.567e-03
25,-3.657e-03
26,2.928e-03
27,-2.345e-03
28,1.878e-03
29,-1.503e-03
30,1.204e-03
31,-9.640e-04
32,7.719e-04
33,-6.181e-04
34,4.949e-04
35,-3.963e-04
36,3.173e-04
37,-2.541e-04
38,2.035e-04
39,-1.629e-04
40,1.305e-04
41,-1.045e-04
42,8.365e-05
43,-6.698e-05
44,5.363e-05
45,-4.295e-05
46,3.439e-05
47,-2.754e-05
48,2.205e-05
49,-1.766e-05
50,1.414e-05
51,-1.132e-05
52,9.065e-06
53,-7.259e-06
54,5.812e-06
55,-4.654e-06
56,3.727e-06
57,-2.984e-06
58,2.389e-06
59,-1.913e-06
60,1.532e-06
61,-1.227e-06
62,9.823e-07
63,-7.866e-07
64,6.299e-07
65,-5.043e-07
66,4.039e-07
67,-3.234e-07
68,2.589e-07
69,-2.073e-07
70,1.660e-07
71,-1.329e-07
72,1.065e-07
73,-8.524e-08
74,6.826e-08
75,-5.466e-08
76,4.376e-08
77,-3.504e-08
78,2.806e-08
79,-2.247e-08
80,1.799e-08
81,-1.441e-08
82,1.154e-08
83,-9.237e-09
84,7.397e-09
85,-5.923e-09
86,4.743e-09
87,-3.798e-09
88,3.041e-09
89,-2.435e-09
90,1.950e-09
91,-1.561e-09
92,1.250e-09
93,-1.001e-09
94,8.016e-10
95,-6.418e-10
96,5.140e-10
97,-4.115e-10
98,3.295e-10
99,-2.639e-10
100,2.113e-10
