sigma,alpha,c,error
0.78,-0.6569241402427731,1.1245316865825354,1.3083321437645053e-06
0.8,-0.6060444144269553,1.1387220361524608,1.894031280347906e-06
0.82,-0.558817503482118,1.1533627710554604,2.658934842924535e-06
0.84,-0.5150417898417399,1.1683654338521425,3.628246616597549e-06
0.86,-0.47458568041126736,1.183434850381463,4.366621775790903e-06
0.88,-0.4371836603014912,1.1987793625259866,5.6940002964612715e-06
0.9,-0.4026972983373009,1.2141768130992368,7.260837716773691e-06
0.92,-0.3709547502137323,1.2295384790662371,9.06548882697669e-06
0.94,-0.3417854806799503,1.2447848405476483,1.1094365724121263e-05
0.96,-0.3151756460934246,1.2592455680698824,1.2334441060290298e-05
0.98,-0.2907045192925035,1.2738181474845112,1.4643763460533952e-05
1.0,-0.26831689874558406,1.2880407547139676,1.7101861826083237e-05
1.02,-0.2478513202756459,1.301879498431339,1.966210794604555e-05
1.04,-0.22915100814190162,1.3153163240338202,2.2270886265305575e-05
1.06,-0.21237251825435915,1.3269485619188572,2.35428403069821e-05
1.08,-0.19683811107055893,1.3391470748235816,2.613728211842323e-05
1.1,-0.18264966112464787,1.350888632101817,2.8666883172443e-05
1.12,-0.16968035137040668,1.3622005477294252,3.108071009602131e-05
1.14,-0.15781285796181957,1.3731178464669311,3.333170448197717e-05
1.16,-0.14741536595097757,1.3810438651657593,3.424739715388477e-05
1.1800000000000002,-0.13752123141052874,1.3906965391849384,3.6289222983137574e-05
1.2000000000000002,-0.12843709675311712,1.4000182926656937,3.811622980185441e-05
1.2200000000000002,-0.12008167591568002,1.409057803726971,3.9704067073579246e-05
1.2400000000000002,-0.11238252758027904,1.4178603206179692,4.1035208969290666e-05
1.26,-0.10588902339711975,1.4223004843313496,4.1661484839212364e-05
1.28,-0.09938469207113255,1.4300751180304976,4.278881030316998e-05
1.3,-0.09336105758441082,1.4376964903135758,4.3668840702859626e-05
1.32,-0.08777198501223617,1.4452022743300637,4.430066617567182e-05
1.34,-0.08257685996402744,1.4526252430425648,4.468797262347192e-05
1.36,-0.0784313745987915,1.4542593886884538,4.5304361883385026e-05
1.38,-0.07396954151785683,1.4609173437258371,4.557840548495022e-05
1.4,-0.0698017324985019,1.4675531384696903,4.563967905045882e-05
1.4200000000000002,-0.06590297745542016,1.4741858925835318,4.5498236782696664e-05
1.4400000000000002,-0.06225111837834173,1.4808314545398444,4.5166249556275514e-05
1.4600000000000002,-0.05953585351235913,1.4803585133301125,4.597617296994672e-05
1.4800000000000002,-0.05635020554838864,1.4864401549493882,4.5611750594255635e-05
1.5000000000000002,-0.05335435305335274,1.4925671065933181,4.50874073054716e-05
1.52,-0.050534403983503166,1.4987455246017514,4.4416078425936755e-05
1.54,-0.04787789695470147,1.5049793399871647,4.3611360239324576e-05
1.56,-0.046056275557994006,1.5029651950832341,4.4675272068482e-05
1.58,-0.043708366481637,1.5087693220852982,4.3884974850440554e-05
1.6,-0.041489847176377305,1.514642392063997,4.298439369352028e-05
1.62,-0.039392971469170764,1.5205789629850053,4.1985875654195474e-05
1.64,-0.03740939109158336,1.52658531969903,4.090172717044831e-05
1.66,-0.036161552800183905,1.5234521971286101,4.218573448952063e-05
